id_ban_position,id_ban_adresse,cle_interop,id_ban_group,id_fantoir,numero,suffixe,nom_voie,code_postal,nom_commune,code_insee,nom_complementaire,x,y,lon,lat,typ_loc,source,date_der_maj
ban-position-dc1c5b431d59467f9c5262b272651e22,ban-housenumber-765106d3a2b042cd933fbc3812dde124,40046_0040_270,ban-group-5142906d8a3f4863ad51952b15193249,400460040,270,,Avenue Alphonse Daudet,40600,Biscarrosse,40046,,368504.71287348703,6375000.03438697,-1.163833,44.39536,entrance,ign,2018-10-20
ban-position-98176f9be994473e8ab40c9b4da80058,ban-housenumber-106d1c960c7042b1bed18826a4a7490c,40251_0015_1445,ban-group-3c657524ca2143a89739d5b11ce0c5e9,402510015,1445,,Route des Barthes,40390,Saint-Barthélemy,40251,,350392.67108968,6277033.56857027,-1.32357516784764,43.5062209246926,segment,ign,2019-07-21
ban-position-4dbff41bb98c43049ded4e7123721fbc,ban-housenumber-cd33c5bfeac5475c8ff684f5fb346fbb,40209_0395_512,ban-group-845ef3496a89403e9a1e31d3dd6612b1,402090395,512,,AVENUE ETIENNE CASTAING,40440,Ondres,40209,,340527.508138304,6284352.85919856,-1.4504190000000001,43.567044,entrance,ign,2018-10-20
ban-position-35e96b69f466457cb0c2f73f9445ab65,ban-housenumber-6c2cbebebab94198ab1b1d60ed81d3c6,40267_0050_4,ban-group-af816999f546467cb0f19a9ea014ac50,402670050,4,,Place du Chêne-rond,40240,Saint-Justin,40267,,440799.950571089,6325484.73302465,-0.231475,43.980624,parcel,dgfip,2018-10-20
ban-position-346b6e9eac5a4f67aea5e66a7695ae81,ban-housenumber-456b3dab3dbe4f389958a647403f96c7,40192_2090_435,ban-group-fe87b0d6f7b745e3b3aa2568c6b0adf2,401922090,435,,Boulevard Saint-médard,40000,Mont-de-Marsan,40192,,420079.937684565,6316836.05937415,-0.48471499999999995,43.894932,parcel,dgfip,2018-10-20
ban-position-74884d558135442eb4da7fe9eed337a9,ban-housenumber-65ab0ba9fbbb442590db2606ccec7b41,40061_0200_1076,ban-group-32839843a4354d45bfc5ddd709f3da7f,400610200,1076,,ROUTE DE LE LEUY,40090,Campagne,40061,,406571.42418414296,6313137.93949266,-0.650521,43.856195,entrance,ign,2018-10-20
ban-position-07b4ecea99b0427cb8c77acfa0b96fed,ban-housenumber-500c8e6f71ac42c3be2dab9e5c79ad20,40196_0010_1075,ban-group-37aaa917c7624f23a6cf7c7ca33daf1c,401960010,1075,,CHEMIN DU BAYRON,40500,Montsoué,40196,,417438.997378546,6301514.4074809,-0.5090779999999999,43.756136,parcel,dgfip,2018-10-20
ban-position-a4abd09362d741e79334367e88580e56,ban-housenumber-7ef1da56f26f4411a80f5105902fb4b1,40243_B118_793,ban-group-14a354c991cf48d19245e26501cc9450,40243B118,793,,Pouy Joseph,40370,Rion-des-Landes,40243,,385117.731636123,6322068.60523101,-0.922516,43.927217999999996,parcel,dgfip,2019-02-17
ban-position-fea0ccfdaa35465d88f3146b0a46ff48,ban-housenumber-84c410398ea24fe39c32023f83fd469d,40273_0825_9,ban-group-98ab12db6a35483b8a048ae7920fd4a5,402730825,9,,Allée de Lavignolle,40390,Saint-Martin-de-Seignanx,40273,,345932.43746682,6281084.2128897,-1.381399,43.540399,segment,ign,2018-10-20
ban-position-6839d469218d4ca8babf2905854c5365,ban-housenumber-043a71d02f2b47e9ae06a35356a57d36,40184_0980_23,ban-group-96c86e9cf5ea415a979ef16808f92044,401840980,23,,RUE LAMAREE,40200,Mimizan,40184,,362192.571484072,6353094.17482805,-1.228248,44.195439,parcel,dgfip,2018-10-20
ban-position-5caeee2bdeee4f578856e89e2e03b620,ban-housenumber-10acd086ddd74966b28738643bc1947b,40192_0892_11,ban-group-1ddfa5a1a2314ad8965651a9e27627fc,401920892,11,,Avenue du Général Caunègre,40000,Mont-de-Marsan,40192,,420590.93076873204,6314368.28477396,-0.47701000000000005,43.872948,parcel,dgfip,2018-10-20
ban-position-e73ea33e77b847d6b0706ce0bcc14982,ban-housenumber-3d64aa7e11d44b9ead149b1e9375ae8c,40192_1358_13,ban-group-058d91b0e762433ebe2e869839e06c82,401921358,13,,RUE DES LYS,40000,Mont-de-Marsan,40192,,420722.1,6315255.39999999,-0.475865449538455,43.8809755929296,entrance,ign,2019-02-01
ban-position-135b47b146914ff7bcf389b61774808c,ban-housenumber-80d6645ed84e460aa24bbd614dde3a5b,40266_0090_111,ban-group-fcd9e6cb0959453db6f62d947f5140e7,402660090,111,,Route d'Uza,40170,Saint-Julien-en-Born,40266,,361683.735201524,6338261.16893081,-1.224681,44.06188,entrance,ign,2018-10-20
ban-position-b57b278c9b52461a8d08a223dd2e0f8f,ban-housenumber-512ff8ee99494adbba82e0aed836a416,40287_1380_204,ban-group-2d49ecb609604652ab776ce9743c2c03,402871380,204,,Rue de la Rainette du Lac,40460,Sanguinet,40287,,375949.56383109704,6386681.61980007,-1.078059,44.50387,entrance,ign,2018-10-20
ban-position-4907767d8a1d4c568edda563562d3e82,ban-housenumber-9c5eb67f002b45c1b1b54cd14d87e92b,40102_0647_112,ban-group-9546682137fa4e36ab17069244f27709,401020647,112,,RUE RAOUL FAGET,40310,Gabarret,40102,,459666.923625779,6325207.69222868,0.003638,43.984827,entrance,ign,2018-10-20
ban-position-ffe3a760a23f4eb994ffe42f4344eb3d,ban-housenumber-805f57350e96465d9a183b9f87dd5631,40279_0393_9009,ban-group-23c208e8675343008830605c28c80515,402790393,9009,,Rue du Maréchal Joffre,40990,Saint-Paul-lès-Dax,40279,,374077.52144174103,6300549.88884323,-1.046084,43.728807,parcel,dgfip,2018-10-20
ban-position-6a147ed9a03a46e7b9a245ad96ea3ec0,ban-housenumber-b8a6cb0cb0604aa0aacaead98dd49d37,40304_0519_92,ban-group-03e34ac5e6524e29af67ca6645d01c8d,403040519,92,,AVENUE MAITRE PIERRE,40150,Soorts-Hossegor,40304,,342891.28741705196,6294214.04477612,-1.4280549999999999,43.656827,entrance,ign,2018-10-20
ban-position-6d219ccad57c47888402efd1a1b70ead,ban-housenumber-f98ddd8aa588400c96d3ce4cd98da665,40287_0430_207,ban-group-6eb9e1b2e87a43589f1c05ba4cdf5100,402870430,207,,Route de Bordeaux,40460,Sanguinet,40287,,377766.999999999,6386039.59999999,-1.05481298695975,44.4989402802024,segment,ign,2019-01-31
